Date,Breakfast,Meal1,Meal2,Extras,Sport,Read,Hobby,Study,Project,Friends,GF,Laid,Scroll,Wasted,Games,Happiness
2026-02-24 15:27:03,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:07,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:07,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:08,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:17,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:18,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:18,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:18,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:19,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:19,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:19,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:19,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:19,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:20,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:20,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:20,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:20,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:20,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:20,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:21,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:21,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:21,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:21,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:22,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:22,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:22,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:22,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:22,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:23,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:23,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:24,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:24,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:24,Neutral,Healthy,Neutral,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:40,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:40,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:41,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:41,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:41,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:41,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:41,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:42,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:42,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:42,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:42,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:42,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:42,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:43,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:43,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:43,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:43,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:43,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:43,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
2026-02-24 15:27:44,Healthy,Healthy,Healthy,1,false,0.0,0.0,0.8,2.6,true,false,false,3.0,1.0,1.0,6
